text,label,label_name,is_synthetic
RT [USER]: [USER] The AFL now has an American draft system BearBrother! Couple of Yanks are on the playing lists at so&8230;,2,neither,False
RT [USER]: Mom brought me McDonald's for lunch. I had all the bitches on me.,1,offensive_language,False
RT [USER]: imma cool as bitch so if a bitch don't like me it's a personal problem .,1,offensive_language,False
Charlie xcx is bae,2,neither,False
&8220;[USER]: Lmao lexy such a hoe &128514;&8221; lmfaooo,1,offensive_language,False
RT [USER]: [USER] I just found an Oreo in my pocket... Is it yours? Thanks for looking after it .xx,2,neither,False
RT [USER]: Green and yellow -lil Wayne &128155;&128154;&128175;&128175;&128175;&128175;,2,neither,False
Photoset: The biggest pussy I&8217;ve seen in China. [URL],1,offensive_language,False
This dude fell cuz he was looking at these bitches in the car.&128514;&128514;&128514;&128514;&128514;&128514;,1,offensive_language,False
RT [USER]: [USER] awwww my niggar thank you so much sure means a lot &9825;&9825;,1,offensive_language,False
ya girl pussy is trash as fuck.,1,offensive_language,False
Kanye west is a faggot,0,hate_speech,False
"&8220;[USER]: [USER] negro, you wear a size 5...I'm in a 12&8221;I'm at a 6 now still growing",1,offensive_language,False
[USER] bitch***,1,offensive_language,False
Happy birthday fag [USER] love ya,1,offensive_language,False
"[USER] BlessJesus Amos 3:3 Can two walk together, unless they are agreed? DifferentLevels",2,neither,False
""" post a picture of that pussy get 200 likes """,1,offensive_language,False
"[USER] money can get you good weed, but not always the best of pussy. Sorry my friend (: guess",1,offensive_language,False
[USER] yeah cum itch my slit baby cakes,1,offensive_language,False
Jihadis Turn Washington National Cathedral Into Mosque For Friday Prayers [URL] lnyhbt ccot teaparty gop tgdn,2,neither,False
RT [USER]: so yeah [USER] is the fucking best and I would really hate living if I didn't know her. My bad bitch appreciation pos&8230;,1,offensive_language,False
RT [USER]: VolNation bitch,1,offensive_language,False
[USER] fuck you bitch shrimp shorty midget dwarf infant jk,1,offensive_language,False
Even my moms knows I don't fuck with ghetto people,1,offensive_language,False
RT [USER]: Yeah [USER] quit being a bitch about your back. Pop a few Viagra and get your horny ass back to dominating holes o&8230;,1,offensive_language,False
RT [USER]: When lil b said &8220;Word around town that I aint got no bitches? what?! Thats a damn lie nigga my nuts is my witness&8221; [URL],1,offensive_language,False
"You never heard ""i think i have weed poisoning"" cause it dont exist hoe",1,offensive_language,False
Sub tweeting and uoeno lol bitch,1,offensive_language,False
"Won't catch me sneak dissing, thats fo the birds.",2,neither,False
&8220;[USER]: I'm jakes bitch&8221;,1,offensive_language,False
"RT [USER]: For example. I can't even say ""what's cooler than bein cool? ICE COLD!"" Without somebody relating it to A Phi A. No bitch t&8230;",1,offensive_language,False
"RT [USER]: You shoulda learned how to bake, cuz bitches love cake",1,offensive_language,False
RT [USER]: GamePlan: 1. Eat the pussy 2. Beat the pussy up 3. Apologize to the pussy by eating it again because it's so good.,1,offensive_language,False
My phone on 10% fml I still gotta get to the yellow sign lol motivation lol btw I zoomed in 2x lol [URL],2,neither,False
I dont say fuck bitches get money because i love em both,1,offensive_language,False
I eat generic Oreos.. Baller with a budget bitch.,1,offensive_language,False
Never go full retard....,1,offensive_language,False
Lmfaoooooo RT [USER]: I'm so glad my shorty ain't all over twitter and IG tryna be a famous Columbus hoe &128514;&128514;&128514;&128514;,1,offensive_language,False
"Niggas is pure suckas.. If you got a problem with ya mans address that shit, discuss it, &amp; squash it... Only bitches hold grudges.",1,offensive_language,False
"I Was Down for A Minute , them bitches left a Nigga Them hoes forgot about me , like they neva met a nigga",1,offensive_language,False
There are some retarded ass movies on Netflix,1,offensive_language,False
